totalOperations,266
expansions,reached,frontier,maxDepth
1,11,10,0
1021,3059,100,25
2021,6502,100,43
3021,10261,100,63
4021,15302,100,85
5021,20596,100,112
6021,24539,100,133
7021,27607,100,147
8021,30599,100,165
9021,33497,100,188
10021,35514,100,206
11021,37141,100,232
12021,38490,100,249
